Estacion,Tipo dia,Descripcio_causa_mediata,Descripcio_torn,Descripcio_tipus_accident,Tipo_vehiculo,Genero,Edad
Primavera,Laborable,Manca d'atencio a la conduccio,Tarda,Colision frontal,Bicicleta,Home,[34;50]
Invierno,No laborable,Adelantamiento improcedente,Tarda,Colision lateral,Veh. Mobilidad personal con o sin motor,Dona,[34;50]
Primavera,Laborable,Manca d'atencio a la conduccio,Tarda,Colision fronto-lateral,Motocicleta,Dona,[34;50]
Primavera,Laborable,Desobeir altres senyals,Mati,Colision fronto-lateral,Veh. Mobilidad personal con o sin motor,Dona,[18;33]
Verano,No laborable,Desobeir samoforo,Mati,Colision fronto-lateral,Veh. Mobilidad personal con o sin motor,Dona,[51;70]
Primavera,Laborable,Desobeir samoforo,Tarda,Colision fronto-lateral,Motocicleta,Home,[34;50]
Primavera,Laborable,Desobeir altres senyals,Mati,Colision fronto-lateral,Veh. Mobilidad personal con o sin motor,Home,[18;33]
Invierno,Laborable,Adelantamiento improcedente,Mati,Colision lateral,Motocicleta,Home,[51;70]
Otono,Laborable,Desobeir altres senyals,Mati,Colision lateral,Bicicleta,Home,[51;70]
Otono,Laborable,Manca precaucio incorporacio circulacio,Tarda,Colision lateral,Motocicleta,Dona,[51;70]
Invierno,Laborable,No respectar distancies,Mati,Abast,Motocicleta,Dona,[18;33]
Invierno,No laborable,Manca d'atencio a la conduccio,Tarda,Abast,Motocicleta,Home,[34;50]
Primavera,Laborable,Manca d'atencio a la conduccio,Tarda,Colision lateral,Veh. Mobilidad personal con o sin motor,Home,[18;33]
Primavera,Laborable,Desobeir altres senyals,Mati,Colision lateral,Motocicleta,Home,[18;33]
Primavera,Laborable,No cedir la dreta,Mati,Colision fronto-lateral,Motocicleta,Home,[34;50]
Primavera,No laborable,Adelantamiento improcedente,Tarda,Colision lateral,Motocicleta,Home,[34;50]
Verano,Laborable,Canvi de carril sense precaucio,Tarda,Abast,Motocicleta,Home,[34;50]
Primavera,No laborable,Desobeir samoforo,Nit,Colision fronto-lateral,Turisme,Home,[51;70]
Invierno,Laborable,Manca d'atencio a la conduccio,Tarda,Abast,Motocicleta,Dona,[51;70]
Invierno,No laborable,Desobeir samoforo,Tarda,Colision fronto-lateral,Veh. Mobilidad personal con o sin motor,Home,[18;33]
Invierno,Laborable,Adelantamiento improcedente,Mati,Colision lateral,Motocicleta,Dona,[18;33]
Primavera,Laborable,Desobeir samoforo,Tarda,Colision fronto-lateral,Motocicleta,Home,[18;33]
Invierno,Laborable,Gir indegut o sense precaucio,Tarda,Colision lateral,Veh. Mobilidad personal con o sin motor,Dona,[34;50]
Invierno,Laborable,Gir indegut o sense precaucio,Tarda,Colision lateral,Turisme,Dona,[18;33]
Primavera,Laborable,No determinada,Mati,Colision lateral,Camion,Home,[51;70]
Verano,Laborable,Manca d'atencio a la conduccio,Mati,Caiguda interior vehicle,Motocicleta,Home,[18;33]
Primavera,Laborable,Desobeir samoforo,Tarda,Colision fronto-lateral,Motocicleta,Home,[34;50]
Primavera,Laborable,Manca d'atencio a la conduccio,Tarda,Caiguda (dues rodes),Bicicleta,Dona,[51;70]
Primavera,No laborable,Desobeir altres senyals,Mati,Colision fronto-lateral,Bicicleta,Home,[51;70]
Otono,No laborable,Manca precaucio incorporacio circulacio,Mati,Colision fronto-lateral,Veh. Mobilidad personal con o sin motor,Home,[18;33]
Primavera,Laborable,No respectar distancies,Tarda,Abast,Motocicleta,Dona,[18;33]
Primavera,Laborable,Canvi de carril sense precaucio,Tarda,Colision lateral,Motocicleta,Home,[18;33]
Otono,Laborable,No respectar distancies,Tarda,Abast,Motocicleta,Home,[34;50]
Invierno,No laborable,Altres,Mati,Colision fronto-lateral,Veh. Mobilidad personal con o sin motor,Home,[34;50]
Otono,No laborable,Altres,Nit,Abast,Turisme,Home,[34;50]
Otono,Laborable,Desobeir altres senyals,Mati,Colision lateral,Veh. Mobilidad personal con o sin motor,Home,[18;33]
Invierno,Laborable,No respectar distancies,Tarda,Abast,Motocicleta,Home,[34;50]
Verano,Laborable,Canvi de carril sense precaucio,Tarda,Colision lateral,Motocicleta,Home,[18;33]
Verano,Laborable,Manca d'atencio a la conduccio,Nit,Caiguda (dues rodes),Motocicleta,Home,[18;33]
Primavera,Laborable,Gir indegut o sense precaucio,Mati,Colision lateral,Motocicleta,Home,[18;33]
Invierno,Laborable,Altres,Tarda,Colision lateral,Motocicleta,Home,[51;70]
Primavera,Laborable,Manca d'atencio a la conduccio,Nit,Abast,Motocicleta,Home,[34;50]
Otono,Laborable,No determinada,Mati,Caiguda (dues rodes),Veh. Mobilidad personal con o sin motor,Dona,[34;50]
Otono,Laborable,No respectar distancies,Nit,Abast,Motocicleta,Dona,[18;33]
Invierno,No laborable,No respectar distancies,Tarda,Abast multiple,Turisme,Home,[34;50]
Otono,Laborable,Manca d'atencio a la conduccio,Mati,Colision lateral,Bicicleta,Home,[34;50]
Primavera,Laborable,Manca d'atencio a la conduccio,Mati,Colision lateral,Turisme,Home,[34;50]
Invierno,Laborable,Gir indegut o sense precaucio,Mati,Colision lateral,Motocicleta,Home,[51;70]
Otono,No laborable,Manca d'atencio a la conduccio,Tarda,Abast,Turisme,Dona,[18;33]
Invierno,No laborable,Desobeir samoforo,Mati,Colision fronto-lateral,Motocicleta,Home,[18;33]
Otono,No laborable,No respectar distancies,Tarda,Abast,Motocicleta,Dona,[34;50]
Primavera,Laborable,Desobeir altres senyals,Tarda,Colision fronto-lateral,Veh. Mobilidad personal con o sin motor,Home,[18;33]
Otono,No laborable,Canvi de carril sense precaucio,Mati,Colision lateral,Motocicleta,Home,[18;33]
Otono,Laborable,Manca d'atencio a la conduccio,Tarda,Colision lateral,Motocicleta,Dona,[18;33]
Primavera,Laborable,No determinada,Nit,Altres,Veh. Mobilidad personal con o sin motor,Home,[51;70]
Verano,Laborable,Altres,Tarda,Caiguda interior vehicle,Autobus,Home,[34;50]
Primavera,Laborable,Canvi de carril sense precaucio,Tarda,Colision lateral,Motocicleta,Home,[18;33]
Verano,Laborable,Gir indegut o sense precaucio,Tarda,Colision lateral,Bicicleta,Home,[34;50]
Otono,Laborable,Gir indegut o sense precaucio,Mati,Colision lateral,Motocicleta,Dona,[18;33]
Verano,Laborable,Desobeir altres senyals,Nit,Colision lateral,Motocicleta,Home,[34;50]
Primavera,Laborable,Canvi de carril sense precaucio,Nit,Colision lateral,Motocicleta,Home,[18;33]
Otono,No laborable,Desobeir samoforo,Mati,Colision frontal,Bicicleta,Home,[18;33]
Verano,Laborable,Adelantamiento improcedente,Tarda,Colision lateral,Motocicleta,Home,[51;70]
Verano,Laborable,Adelantamiento improcedente,Tarda,Colision fronto-lateral,Motocicleta,Home,[18;33]
Invierno,No laborable,Desobeir samoforo,Tarda,Colision fronto-lateral,Veh. Mobilidad personal con o sin motor,Dona,[18;33]
Invierno,Laborable,Gir indegut o sense precaucio,Mati,Colision lateral,Motocicleta,Home,[18;33]
Otono,Laborable,Gir indegut o sense precaucio,Tarda,Abast,Veh. Mobilidad personal con o sin motor,Dona,[18;33]
Primavera,Laborable,No respectar distancies,Tarda,Abast,Veh. Mobilidad personal con o sin motor,Dona,[34;50]
Otono,Laborable,Manca d'atencio a la conduccio,Mati,Abast,Motocicleta,Dona,[34;50]
Primavera,Laborable,No respectar distancies,Tarda,Abast,Motocicleta,Home,[18;33]
Primavera,Laborable,Gir indegut o sense precaucio,Mati,Colision fronto-lateral,Bicicleta,Dona,[18;33]
Invierno,Laborable,Canvi de carril sense precaucio,Mati,Colision lateral,Motocicleta,Home,[34;50]
Invierno,No laborable,Manca d'atencio a la conduccio,Mati,Abast,Motocicleta,Home,[18;33]
Invierno,Laborable,Gir indegut o sense precaucio,Tarda,Colision lateral,Veh. Mobilidad personal con o sin motor,Dona,[18;33]
Primavera,Laborable,Desobeir samoforo,Mati,Colision fronto-lateral,Motocicleta,Home,[34;50]
Invierno,Laborable,Desobeir samoforo,Mati,Colision fronto-lateral,Veh. Mobilidad personal con o sin motor,Home,[18;33]
Invierno,Laborable,Gir indegut o sense precaucio,Tarda,Colision fronto-lateral,Motocicleta,Home,[34;50]
Otono,Laborable,No determinada,Mati,Caiguda (dues rodes),Motocicleta,Home,[34;50]
Invierno,Laborable,No determinada,Mati,Colision lateral,Motocicleta,Dona,[34;50]
Primavera,No laborable,No determinada,Tarda,Caiguda (dues rodes),Motocicleta,Home,[18;33]
Invierno,Laborable,Manca precaucio efectuar marxa enrera,Mati,Abast,Motocicleta,Home,[51;70]
Invierno,Laborable,Gir indegut o sense precaucio,Tarda,Colision lateral,Motocicleta,Home,[51;70]
Otono,Laborable,Gir indegut o sense precaucio,Tarda,Colision fronto-lateral,Veh. Mobilidad personal con o sin motor,Dona,[34;50]
Invierno,Laborable,Gir indegut o sense precaucio,Tarda,Colision fronto-lateral,Veh. Mobilidad personal con o sin motor,Home,[18;33]
Otono,No laborable,Altres,Mati,Colision fronto-lateral,Turisme,Home,mas 70
Primavera,Laborable,Manca d'atencio a la conduccio,Mati,Colision lateral,Motocicleta,Home,[51;70]
Otono,Laborable,No respectar distancies,Mati,Abast,Motocicleta,Home,[18;33]
Otono,No laborable,Desobeir samoforo,Tarda,Colision fronto-lateral,Motocicleta,Home,[18;33]
Primavera,Laborable,Manca d'atencio a la conduccio,Mati,Atropellament,Veh. Mobilidad personal con o sin motor,Home,[18;33]
Invierno,Laborable,Manca d'atencio a la conduccio,Mati,Abast,Motocicleta,Home,[34;50]
Primavera,Laborable,Gir indegut o sense precaucio,Mati,Colision lateral,Motocicleta,Home,[34;50]
Verano,Laborable,No respectar distancies,Tarda,Abast,Motocicleta,Dona,[18;33]
Invierno,Laborable,No respectar distancies,Mati,Colision lateral,Bicicleta,Dona,[18;33]
Invierno,No laborable,Altres,Tarda,Altres,Bicicleta,Home,[18;33]
Primavera,No laborable,Altres,Mati,Caiguda (dues rodes),Motocicleta,Home,[51;70]
Verano,Laborable,Gir indegut o sense precaucio,Tarda,Colision lateral,Bicicleta,Dona,[18;33]
Otono,No laborable,Gir indegut o sense precaucio,Tarda,Colision fronto-lateral,Veh. Mobilidad personal con o sin motor,Dona,[18;33]
Invierno,No laborable,Manca d'atencio a la conduccio,Mati,Abast,Motocicleta,Home,[18;33]
Verano,Laborable,No respectar distancies,Mati,Abast,Motocicleta,Dona,[18;33]
Primavera,Laborable,Canvi de carril sense precaucio,Mati,Colision lateral,Motocicleta,Home,[34;50]
Primavera,Laborable,Canvi de carril sense precaucio,Mati,Abast,Motocicleta,Dona,[18;33]
Primavera,No laborable,No determinada,Tarda,Colision lateral,Motocicleta,Home,[18;33]
Otono,Laborable,Gir indegut o sense precaucio,Mati,Colision fronto-lateral,Turisme,Dona,[18;33]
Primavera,Laborable,No determinada,Nit,Colision fronto-lateral,Motocicleta,Home,[18;33]
Primavera,Laborable,No respectar distancies,Nit,Abast,Motocicleta,Dona,[34;50]
Invierno,Laborable,Adelantamiento improcedente,Nit,Xoc contra element estatic,Veh. Mobilidad personal con o sin motor,Dona,[34;50]
Invierno,No laborable,Desobeir samoforo,Tarda,Colision lateral,Motocicleta,Dona,[18;33]
Invierno,Laborable,Gir indegut o sense precaucio,Tarda,Colision lateral,Motocicleta,Dona,[18;33]
Invierno,Laborable,Manca d'atencio a la conduccio,Nit,Colision frontal,Bicicleta,Dona,[34;50]
Verano,Laborable,No respectar distancies,Tarda,Abast,Motocicleta,Dona,[18;33]
Invierno,Laborable,No respectar distancies,Mati,Abast,Motocicleta,Home,[51;70]
Verano,Laborable,Desobeir altres senyals,Nit,Colision fronto-lateral,Bicicleta,Home,[34;50]
Invierno,Laborable,Gir indegut o sense precaucio,Tarda,Colision lateral,Bicicleta,Dona,[51;70]
Otono,Laborable,Desobeir samoforo,Mati,Caiguda (dues rodes),Veh. Mobilidad personal con o sin motor,Home,[34;50]
Otono,Laborable,Desobeir samoforo,Tarda,Colision fronto-lateral,Veh. Mobilidad personal con o sin motor,Dona,[34;50]
Verano,Laborable,Altres,Tarda,Colision fronto-lateral,Bicicleta,Home,[34;50]
Primavera,Laborable,Canvi de carril sense precaucio,Mati,Colision fronto-lateral,Motocicleta,Home,[34;50]
Otono,Laborable,No determinada,Tarda,Caiguda (dues rodes),Motocicleta,Home,[34;50]
Otono,Laborable,No respectar distancies,Tarda,Abast,Motocicleta,Dona,[34;50]
Otono,Laborable,Canvi de carril sense precaucio,Mati,Colision lateral,Motocicleta,Home,[51;70]
Verano,Laborable,Desobeir samoforo,Nit,Colision fronto-lateral,Veh. Mobilidad personal con o sin motor,Home,[18;33]
Primavera,No laborable,Canvi de carril sense precaucio,Tarda,Colision lateral,Motocicleta,Home,[51;70]
Primavera,Laborable,Canvi de carril sense precaucio,Mati,Caiguda (dues rodes),Motocicleta,Home,[18;33]
Primavera,No laborable,Altres,Mati,Colision lateral,Veh. Mobilidad personal con o sin motor,Dona,[18;33]
Invierno,Laborable,No respectar distancies,Tarda,Abast,Motocicleta,Home,[34;50]
Primavera,Laborable,Manca d'atencio a la conduccio,Tarda,Abast,Turisme,Home,[51;70]
Primavera,Laborable,Desobeir altres senyals,Tarda,Colision lateral,Bicicleta,Home,[18;33]
Primavera,Laborable,Manca d'atencio a la conduccio,Nit,Caiguda (dues rodes),Motocicleta,Home,[34;50]
Primavera,Laborable,Desobeir altres senyals,Tarda,Colision lateral,Motocicleta,Dona,[18;33]
Primavera,Laborable,Gir indegut o sense precaucio,Mati,Colision lateral,Motocicleta,Home,[51;70]
Invierno,Laborable,No respectar distancies,Tarda,Abast,Motocicleta,Home,[34;50]
Verano,No laborable,Desobeir altres senyals,Mati,Colision lateral,Motocicleta,Dona,[34;50]
Primavera,Laborable,Desobeir samoforo,Tarda,Colision fronto-lateral,Motocicleta,Home,[34;50]
Otono,Laborable,Desobeir samoforo,Tarda,Colision fronto-lateral,Veh. Mobilidad personal con o sin motor,Home,[18;33]
Otono,Laborable,Gir indegut o sense precaucio,Mati,Colision lateral,Veh. Mobilidad personal con o sin motor,Home,[18;33]
Verano,Laborable,Altres,Mati,Colision lateral,Bicicleta,Dona,[34;50]
Verano,Laborable,Desobeir samoforo,Mati,Atropellament,Veh. Mobilidad personal con o sin motor,Dona,[18;33]
Verano,Laborable,Altres,Mati,Colision fronto-lateral,Motocicleta,Home,[18;33]
Primavera,Laborable,Desobeir samoforo,Mati,Caiguda (dues rodes),Motocicleta,Home,[34;50]
Primavera,Laborable,Manca d'atencio a la conduccio,Mati,Colision frontal,Veh. Mobilidad personal con o sin motor,Dona,[34;50]
Primavera,No laborable,Adelantamiento improcedente,Tarda,Colision lateral,Motocicleta,Home,[51;70]
Otono,No laborable,Gir indegut o sense precaucio,Mati,Colision lateral,Motocicleta,Dona,[18;33]
Primavera,No laborable,Gir indegut o sense precaucio,Tarda,Colision lateral,Bicicleta,Home,[18;33]
Otono,Laborable,No respectar distancies,Mati,Colision lateral,Motocicleta,Dona,[18;33]
Verano,Laborable,No determinada,Nit,Caiguda (dues rodes),Motocicleta,Home,[18;33]
Verano,Laborable,Gir indegut o sense precaucio,Mati,Colision lateral,Motocicleta,Home,[34;50]
Otono,No laborable,Manca d'atencio a la conduccio,Mati,Caiguda (dues rodes),Motocicleta,Dona,[18;33]
Invierno,Laborable,Manca d'atencio a la conduccio,Tarda,Abast,Motocicleta,Home,[34;50]
Primavera,Laborable,Adelantamiento improcedente,Mati,Sortida de via amb xoc o Colision,Motocicleta,Home,[18;33]
Otono,Laborable,No respectar distancies,Tarda,Colision lateral,Motocicleta,Dona,[18;33]
Primavera,Laborable,No respectar distancies,Tarda,Abast,Motocicleta,Dona,[34;50]
Primavera,Laborable,No respectat pas de vianants,Nit,Abast,Motocicleta,Home,[34;50]
Primavera,Laborable,No respectar distancies,Nit,Abast,Motocicleta,Home,[34;50]
Verano,Laborable,Canvi de carril sense precaucio,Tarda,Abast,Motocicleta,Home,[18;33]
Verano,Laborable,Manca precaucio efectuar marxa enrera,Tarda,Abast,Bicicleta,Home,mas 70
Otono,Laborable,No respectar distancies,Tarda,Abast,Motocicleta,Home,[34;50]
Primavera,No laborable,Canvi de carril sense precaucio,Nit,Colision lateral,Motocicleta,Home,[18;33]
Otono,Laborable,Manca d'atencio a la conduccio,Mati,Abast,Motocicleta,Home,[18;33]
Primavera,Laborable,Adelantamiento improcedente,Mati,Colision lateral,Motocicleta,Home,[18;33]
Primavera,Laborable,Manca d'atencio a la conduccio,Tarda,Abast,Motocicleta,Home,[51;70]
Invierno,Laborable,No respectar distancies,Mati,Abast,Motocicleta,Home,[34;50]
Verano,Laborable,Altres,Tarda,Colision fronto-lateral,Motocicleta,Home,[34;50]
Invierno,Laborable,No respectar distancies,Tarda,Colision lateral,Bicicleta,Home,[18;33]
Otono,Laborable,Desobeir altres senyals,Tarda,Caiguda (dues rodes),Motocicleta,Home,[18;33]
Verano,Laborable,No respectar distancies,Tarda,Colision lateral,Motocicleta,Dona,[51;70]
Verano,No laborable,No determinada,Mati,Caiguda (dues rodes),Motocicleta,Home,[34;50]
Invierno,Laborable,Gir indegut o sense precaucio,Mati,Colision lateral,Motocicleta,Dona,[18;33]
Verano,Laborable,No respectar distancies,Tarda,Abast,Motocicleta,Dona,[34;50]
Verano,Laborable,Desobeir altres senyals,Tarda,Colision frontal,Bicicleta,Home,[34;50]
Invierno,Laborable,Desobeir altres senyals,Mati,Colision lateral,Motocicleta,Dona,[18;33]
Primavera,No laborable,Manca d'atencio a la conduccio,Tarda,Caiguda (dues rodes),Bicicleta,Dona,[18;33]
Primavera,No laborable,Canvi de carril sense precaucio,Nit,Colision lateral,Motocicleta,Dona,[18;33]
Otono,Laborable,No determinada,Mati,Colision fronto-lateral,Motocicleta,Home,[34;50]
Invierno,No laborable,Desobeir samoforo,Tarda,Caiguda (dues rodes),Motocicleta,Home,[34;50]
Otono,Laborable,Altres,Tarda,Abast,Motocicleta,Home,[34;50]
Primavera,Laborable,Altres,Tarda,Atropellament,Motocicleta,Home,[51;70]
Otono,No laborable,Canvi de carril sense precaucio,Tarda,Colision lateral,Motocicleta,Home,[51;70]
Verano,Laborable,No respectar distancies,Mati,Abast,Motocicleta,Home,[34;50]
Primavera,Laborable,Gir indegut o sense precaucio,Tarda,Colision lateral,Motocicleta,Dona,[34;50]
Otono,Laborable,No determinada,Mati,Colision frontal,Motocicleta,Home,[34;50]
Invierno,Laborable,Canvi de carril sense precaucio,Tarda,Colision lateral,Motocicleta,Dona,[51;70]
Invierno,Laborable,Altres,Tarda,Colision fronto-lateral,Veh. Mobilidad personal con o sin motor,Home,[18;33]
Invierno,No laborable,Manca d'atencio a la conduccio,Tarda,Abast multiple,Turisme,Home,[34;50]
Verano,Laborable,No respectar distancies,Tarda,Abast,Bicicleta,Home,[34;50]
Invierno,Laborable,Altres,Tarda,Colision fronto-lateral,Veh. Mobilidad personal con o sin motor,Dona,[34;50]
Verano,No laborable,Manca d'atencio a la conduccio,Mati,Xoc contra element estatic,Bicicleta,Home,[51;70]
Otono,Laborable,Canvi de carril sense precaucio,Nit,Colision lateral,Motocicleta,Dona,[18;33]
Primavera,Laborable,Adelantamiento improcedente,Tarda,Colision lateral,Motocicleta,Dona,[34;50]
Primavera,No laborable,No respectar distancies,Tarda,Abast,Motocicleta,Home,[18;33]
Primavera,Laborable,Desobeir samoforo,Tarda,Colision fronto-lateral,Bicicleta,Dona,[34;50]
Verano,Laborable,Manca precaucio incorporacio circulacio,Tarda,Colision fronto-lateral,Motocicleta,Home,[18;33]
Otono,Laborable,Manca d'atencio a la conduccio,Mati,Abast,Motocicleta,Home,[18;33]
Otono,Laborable,Manca d'atencio a la conduccio,Mati,Caiguda (dues rodes),Bicicleta,Home,[51;70]
Primavera,Laborable,Manca d'atencio a la conduccio,Tarda,Caiguda (dues rodes),Motocicleta,Home,[18;33]
Primavera,Laborable,Manca d'atencio a la conduccio,Tarda,Abast,Turisme,Home,[34;50]
Otono,Laborable,No determinada,Tarda,Xoc contra element estatic,Motocicleta,Dona,[34;50]
Otono,Laborable,No respectar distancies,Tarda,Abast,Motocicleta,Home,[18;33]
Invierno,Laborable,Adelantamiento improcedente,Mati,Colision lateral,Motocicleta,Home,[51;70]
Otono,Laborable,Canvi de carril sense precaucio,Tarda,Abast,Motocicleta,Dona,[34;50]
Verano,Laborable,Gir indegut o sense precaucio,Tarda,Colision lateral,Motocicleta,Home,[51;70]
Verano,Laborable,No respectar distancies,Mati,Abast,Motocicleta,Home,[34;50]
Primavera,Laborable,No respectar distancies,Tarda,Abast,Motocicleta,Dona,[18;33]
Verano,No laborable,Desobeir samoforo,Mati,Colision fronto-lateral,Bicicleta,Home,mas 70
Primavera,Laborable,No respectar distancies,Tarda,Colision lateral,Motocicleta,Home,[51;70]
Invierno,Laborable,No respectar distancies,Tarda,Abast,Motocicleta,Home,[34;50]
Primavera,Laborable,Canvi de carril sense precaucio,Tarda,Colision lateral,Motocicleta,Home,[34;50]
Invierno,Laborable,No determinada,Mati,Caiguda (dues rodes),Motocicleta,Dona,[18;33]
Otono,No laborable,No respectat pas de vianants,Tarda,Atropellament,Veh. Mobilidad personal con o sin motor,Home,[18;33]
Primavera,Laborable,Manca d'atencio a la conduccio,Tarda,Abast,Motocicleta,Home,[18;33]
Invierno,Laborable,Desobeir altres senyals,Mati,Colision fronto-lateral,Turisme,Home,[51;70]
Invierno,Laborable,Adelantamiento improcedente,Tarda,Colision lateral,Bicicleta,Home,[18;33]
Invierno,No laborable,Desobeir altres senyals,Tarda,Colision fronto-lateral,Motocicleta,Home,[34;50]
Invierno,Laborable,Manca precaucio incorporacio circulacio,Mati,Colision lateral,Motocicleta,Dona,[34;50]
Invierno,No laborable,Desobeir altres senyals,Mati,Colision fronto-lateral,Motocicleta,Home,[51;70]
Otono,Laborable,Manca d'atencio a la conduccio,Mati,Colision fronto-lateral,Veh. Mobilidad personal con o sin motor,Home,[34;50]
Primavera,Laborable,Adelantamiento improcedente,Tarda,Colision fronto-lateral,Bicicleta,Home,[34;50]
Primavera,Laborable,Manca d'atencio a la conduccio,Mati,Colision fronto-lateral,Motocicleta,Home,[51;70]
Primavera,Laborable,No respectar distancies,Mati,Abast multiple,Turisme,Home,[51;70]
Otono,Laborable,No respectar distancies,Tarda,Colision lateral,Motocicleta,Dona,[18;33]
Otono,Laborable,Manca d'atencio a la conduccio,Tarda,Abast,Motocicleta,Home,[34;50]
Verano,Laborable,No respectar distancies,Tarda,Abast,Motocicleta,Home,[34;50]
Otono,No laborable,Adelantamiento improcedente,Tarda,Colision lateral,Motocicleta,Home,[18;33]
Invierno,Laborable,Manca precaucio incorporacio circulacio,Tarda,Colision fronto-lateral,Motocicleta,Dona,[18;33]
Primavera,No laborable,Manca d'atencio a la conduccio,Tarda,Abast,Turisme,Home,[51;70]
Invierno,Laborable,Adelantamiento improcedente,Mati,Xoc contra element estatic,Motocicleta,Home,[18;33]
Primavera,No laborable,Gir indegut o sense precaucio,Tarda,Colision lateral,Motocicleta,Dona,[34;50]
Primavera,Laborable,Canvi de carril sense precaucio,Mati,Colision lateral,Motocicleta,Home,[34;50]
Otono,Laborable,Desobeir samoforo,Tarda,Colision fronto-lateral,Motocicleta,Dona,[18;33]
Primavera,No laborable,Desobeir samoforo,Nit,Colision lateral,Motocicleta,Home,[18;33]
Otono,Laborable,No respectar distancies,Tarda,Abast,Motocicleta,Home,[18;33]
Otono,Laborable,Manca d'atencio a la conduccio,Tarda,Colision lateral,Motocicleta,Dona,[18;33]
Invierno,Laborable,Manca d'atencio a la conduccio,Tarda,Caiguda (dues rodes),Motocicleta,Dona,[18;33]
Otono,No laborable,Adelantamiento improcedente,Nit,Colision lateral,Motocicleta,Home,[34;50]
Otono,Laborable,Manca d'atencio a la conduccio,Mati,Abast,Motocicleta,Dona,[18;33]
Primavera,Laborable,Adelantamiento improcedente,Mati,Colision fronto-lateral,Motocicleta,Dona,[18;33]
Otono,Laborable,Manca d'atencio a la conduccio,Nit,Caiguda (dues rodes),Motocicleta,Dona,[34;50]
Otono,No laborable,Desobeir altres senyals,Mati,Caiguda (dues rodes),Quadicriclos,Home,[18;33]
Verano,Laborable,No respectar distancies,Mati,Abast,Motocicleta,Home,[18;33]
Otono,Laborable,No respectar distancies,Tarda,Abast,Motocicleta,Home,[34;50]
Invierno,Laborable,Altres,Tarda,Caiguda (dues rodes),Motocicleta,Dona,[18;33]
Invierno,Laborable,Manca d'atencio a la conduccio,Tarda,Caiguda (dues rodes),Motocicleta,Dona,[18;33]
Primavera,Laborable,Desobeir samoforo,Nit,Colision fronto-lateral,Furgoneta,Home,[34;50]
Otono,No laborable,No respectar distancies,Mati,Abast,Turisme,Dona,[18;33]
Primavera,Laborable,Desobeir samoforo,Tarda,Colision fronto-lateral,Veh. Mobilidad personal con o sin motor,Home,[34;50]
Invierno,Laborable,Manca d'atencio a la conduccio,Tarda,Colision fronto-lateral,Veh. Mobilidad personal con o sin motor,Dona,[18;33]
Invierno,Laborable,No respectar distancies,Mati,Abast multiple,Motocicleta,Home,[51;70]
Invierno,Laborable,Manca d'atencio a la conduccio,Mati,Abast,Turisme,Dona,[34;50]
Verano,Laborable,No respectar distancies,Mati,Abast,Motocicleta,Dona,[18;33]
Invierno,Laborable,Desobeir altres senyals,Tarda,Colision lateral,Motocicleta,Dona,[18;33]
Otono,Laborable,No respectar distancies,Tarda,Abast,Motocicleta,Dona,[18;33]
Otono,No laborable,Gir indegut o sense precaucio,Nit,Colision lateral,Motocicleta,Home,[34;50]
Invierno,Laborable,Adelantamiento improcedente,Tarda,Colision lateral,Bicicleta,Home,[34;50]
Otono,No laborable,Gir indegut o sense precaucio,Nit,Colision lateral,Motocicleta,Dona,[18;33]
Primavera,No laborable,Desobeir altres senyals,Mati,Caiguda (dues rodes),Motocicleta,Home,[51;70]
Primavera,No laborable,Desobeir samoforo,Tarda,Colision fronto-lateral,Motocicleta,Home,[18;33]
Invierno,Laborable,Desobeir altres senyals,Mati,Colision lateral,Motocicleta,Dona,[18;33]
Otono,No laborable,Desobeir samoforo,Tarda,Colision fronto-lateral,Ambulancia,Home,[18;33]
Verano,Laborable,Desobeir samoforo,Nit,Colision fronto-lateral,Motocicleta,Home,[34;50]
Verano,Laborable,Desobeir altres senyals,Tarda,Colision lateral,Motocicleta,Home,mas 70
Otono,Laborable,No respectar distancies,Mati,Caiguda (dues rodes),Motocicleta,Home,[34;50]
Primavera,No laborable,Desobeir samoforo,Tarda,Colision fronto-lateral,Motocicleta,Home,[34;50]
Otono,Laborable,No respectar distancies,Mati,Abast,Motocicleta,Dona,[34;50]
Verano,No laborable,Desobeir samoforo,Tarda,Colision fronto-lateral,Motocicleta,Home,[34;50]
Verano,Laborable,Desobeir samoforo,Mati,Colision fronto-lateral,Motocicleta,Home,[51;70]
Primavera,Laborable,Gir indegut o sense precaucio,Nit,Colision fronto-lateral,Motocicleta,Home,[34;50]
Primavera,Laborable,No respectar distancies,Tarda,Caiguda (dues rodes),Motocicleta,Dona,[51;70]
Verano,Laborable,Desobeir samoforo,Tarda,Colision fronto-lateral,Bicicleta,Home,[34;50]
Verano,No laborable,Envair calzada contraria,Tarda,Colision frontal,Motocicleta,Home,[34;50]
Otono,Laborable,No respectar distancies,Mati,Abast multiple,Turisme,Dona,[18;33]
Otono,Laborable,Altres,Tarda,Caiguda (dues rodes),Motocicleta,Home,[51;70]
Invierno,Laborable,Gir indegut o sense precaucio,Mati,Colision lateral,Motocicleta,Dona,[34;50]
Invierno,Laborable,No respectar distancies,Tarda,Abast,Turisme,Dona,[18;33]
Verano,Laborable,Altres,Tarda,Colision fronto-lateral,Bicicleta,Dona,[34;50]
Verano,No laborable,No determinada,Nit,Xoc contra element estatic,Motocicleta,Dona,[34;50]
