Estacion,Tipo dia,Descripcio_causa_mediata,Descripcio_torn,Descripcio_tipus_accident,Tipo_vehiculo,Genero,Edad
Primavera,No laborable,No respectar distancies,Mati,Abast,Motocicleta,Home,[51;70]
Invierno,Laborable,Manca d'atencio a la conduccio,Mati,Colision frontal,Motocicleta,Home,[18;33]
Primavera,No laborable,Manca d'atencio a la conduccio,Tarda,Colision frontal,Bicicleta,Dona,[34;50]
Invierno,Laborable,No respectar distancies,Tarda,Abast multiple,Turisme,Home,[34;50]
Primavera,Laborable,Canvi de carril sense precaucio,Tarda,Colision lateral,Motocicleta,Home,[18;33]
Otono,No laborable,Manca precaucio efectuar marxa enrera,Mati,Persecucion,Motocicleta,Home,[34;50]
Otono,No laborable,No respectar distancies,Nit,Abast multiple,Turisme,Dona,[18;33]
Otono,No laborable,Altres,Nit,Abast multiple,Turisme,Dona,[18;33]
Invierno,No laborable,Altres,Nit,Caiguda (dues rodes),Motocicleta,Dona,[18;33]
Verano,No laborable,Gir indegut o sense precaucio,Tarda,Colision fronto-lateral,Bicicleta,Home,[34;50]
Verano,Laborable,Gir indegut o sense precaucio,Mati,Colision lateral,Motocicleta,Home,[51;70]
Primavera,Laborable,Desobeir altres senyals,Mati,Colision lateral,Motocicleta,Home,[18;33]
Primavera,Laborable,Manca d'atencio a la conduccio,Tarda,Abast,Motocicleta,Home,[18;33]
Invierno,Laborable,Gir indegut o sense precaucio,Nit,Colision lateral,Motocicleta,Home,[18;33]
Otono,Laborable,Manca d'atencio a la conduccio,Tarda,Xoc contra element estatic,Bicicleta,Dona,[34;50]
Verano,Laborable,Manca precaucio incorporacio circulacio,Tarda,Colision fronto-lateral,Motocicleta,Dona,[34;50]
Otono,Laborable,No cedir la dreta,Mati,Colision fronto-lateral,Motocicleta,Home,[18;33]
Verano,No laborable,Manca precaucio efectuar marxa enrera,Nit,Abast,Motocicleta,Dona,[51;70]
Invierno,Laborable,Gir indegut o sense precaucio,Tarda,Colision lateral,Motocicleta,Home,[34;50]
Invierno,Laborable,No respectar distancies,Tarda,Abast,Motocicleta,Home,[34;50]
Verano,Laborable,Gir indegut o sense precaucio,Tarda,Colision lateral,Motocicleta,Home,[34;50]
Primavera,Laborable,No determinada,Tarda,Caiguda (dues rodes),Motocicleta,Dona,[34;50]
Otono,No laborable,Manca d'atencio a la conduccio,Tarda,Abast,Motocicleta,Dona,[18;33]
Otono,No laborable,Manca d'atencio a la conduccio,Mati,Abast multiple,Motocicleta,Home,[51;70]
Verano,Laborable,Canvi de carril sense precaucio,Mati,Caiguda (dues rodes),Motocicleta,Home,[34;50]
Primavera,Laborable,No respectar distancies,Tarda,Colision lateral,Motocicleta,Dona,[34;50]
Otono,Laborable,Canvi de carril sense precaucio,Mati,Colision lateral,Motocicleta,Home,[18;33]
Invierno,Laborable,Manca d'atencio a la conduccio,Tarda,Caiguda (dues rodes),Motocicleta,Dona,[18;33]
Invierno,Laborable,Desobeir samoforo,Mati,Colision fronto-lateral,Motocicleta,Home,[34;50]
Invierno,No laborable,No determinada,Tarda,Caiguda (dues rodes),Motocicleta,Home,[18;33]
Otono,Laborable,Manca d'atencio a la conduccio,Mati,Abast,Motocicleta,Dona,[34;50]
Primavera,Laborable,Altres,Nit,Colision lateral,Motocicleta,Dona,[34;50]
Otono,Laborable,Manca d'atencio a la conduccio,Tarda,Colision frontal,Veh. Mobilidad personal con o sin motor,Dona,[18;33]
Invierno,No laborable,No respectar distancies,Mati,Abast multiple,Motocicleta,Dona,[34;50]
Otono,Laborable,No determinada,Mati,Colision lateral,Furgoneta,Dona,[18;33]
Otono,Laborable,Altres,Mati,Colision lateral,Veh. Mobilidad personal con o sin motor,Home,[34;50]
Primavera,Laborable,Gir indegut o sense precaucio,Tarda,Colision lateral,Motocicleta,Home,[34;50]
Otono,Laborable,No respectar distancies,Mati,Abast,Motocicleta,Home,[34;50]
Verano,Laborable,No determinada,Mati,Colision lateral,Motocicleta,Home,[18;33]
Primavera,Laborable,Canvi de carril sense precaucio,Mati,Colision fronto-lateral,Motocicleta,Home,[18;33]
Invierno,Laborable,Desobeir samoforo,Mati,Colision fronto-lateral,Motocicleta,Home,[51;70]
Primavera,Laborable,Manca d'atencio a la conduccio,Nit,Xoc contra element estatic,Motocicleta,Home,[51;70]
Invierno,No laborable,Altres,Mati,Colision lateral,Motocicleta,Dona,[18;33]
Invierno,No laborable,Manca precaucio incorporacio circulacio,Mati,Colision lateral,Motocicleta,Dona,[18;33]
Verano,Laborable,Manca d'atencio a la conduccio,Mati,Colision lateral,Motocicleta,Dona,[18;33]
Otono,No laborable,No determinada,Tarda,Abast,Turisme,Home,[18;33]
Invierno,Laborable,No respectat pas de vianants,Tarda,Atropellament,Bicicleta,Home,[34;50]
Otono,Laborable,Gir indegut o sense precaucio,Mati,Colision lateral,Veh. Mobilidad personal con o sin motor,Home,[34;50]
Verano,No laborable,Manca d'atencio a la conduccio,Tarda,Colision frontal,Bicicleta,Home,[18;33]
