Estacion,Tipo dia,Descripcio_causa_mediata,Descripcio_torn,Descripcio_tipus_accident,Tipo_vehiculo,Genero,Edad,Barrio
Verano,No laborable,Altres,Mati,Caiguda (dues rodes),Motocicleta,Home,[34;50],Sant Gervasi - la Bonanova
Otono,Laborable,Canvi de carril sense precaucio,Tarda,Colision lateral,Motocicleta,Home,[34;50],Sant Gervasi - la Bonanova
Otono,Laborable,No respectar distancies,Mati,Abast,Turisme,Dona,[34;50],Sant Gervasi - la Bonanova
Primavera,No laborable,Manca d'atencio a la conduccio,Mati,Abast,Turisme,Dona,[34;50],Sants - Badal
Otono,Laborable,Manca d'atencio a la conduccio,Tarda,Colision lateral,Motocicleta,Home,[18;33],Sants - Badal
Otono,Laborable,No respectar distancies,Tarda,Abast,Motocicleta,Dona,[18;33],el Camp de l'Arpa del Clot
Primavera,Laborable,Adelantamiento improcedente,Tarda,Colision fronto-lateral,Motocicleta,Dona,[34;50],el Camp de l'Arpa del Clot
Invierno,Laborable,Manca d'atencio a la conduccio,Mati,Colision fronto-lateral,Motocicleta,Dona,[34;50],les Corts
Primavera,Laborable,No respectar distancies,Tarda,Abast,Motocicleta,Home,[34;50],Sant Gervasi - Galvany
Primavera,No laborable,No respectar distancies,Mati,Abast,Motocicleta,Home,[51;70],el Clot
Invierno,Laborable,Manca d'atencio a la conduccio,Mati,Colision frontal,Motocicleta,Home,[18;33],la Dreta de l'Eixample
Primavera,No laborable,Manca d'atencio a la conduccio,Tarda,Colision frontal,Bicicleta,Dona,[34;50],la Sagrada Familia
Invierno,Laborable,No respectar distancies,Tarda,Abast multiple,Turisme,Home,[34;50],Sant Gervasi - la Bonanova
Primavera,Laborable,Canvi de carril sense precaucio,Tarda,Colision lateral,Motocicleta,Home,[18;33],el Fort Pienc
Otono,No laborable,Manca precaucio efectuar marxa enrera,Mati,Persecucion,Motocicleta,Home,[34;50],Sant Gervasi - Galvany
Otono,No laborable,No respectar distancies,Nit,Abast multiple,Turisme,Dona,[18;33],el Guinardo
Otono,No laborable,Altres,Nit,Abast multiple,Turisme,Dona,[18;33],el Poble-sec
Invierno,No laborable,Altres,Nit,Caiguda (dues rodes),Motocicleta,Dona,[18;33],la Sagrada Familia
Verano,No laborable,Gir indegut o sense precaucio,Tarda,Colision fronto-lateral,Bicicleta,Home,[34;50],les Tres Torres
Verano,Laborable,Gir indegut o sense precaucio,Mati,Colision lateral,Motocicleta,Home,[51;70],Sant Genis dels Agudells
Primavera,Laborable,Desobeir altres senyals,Mati,Colision lateral,Motocicleta,Home,[18;33],la Dreta de l'Eixample
Primavera,Laborable,Manca d'atencio a la conduccio,Tarda,Abast,Motocicleta,Home,[18;33],Sarria
Invierno,Laborable,Gir indegut o sense precaucio,Nit,Colision lateral,Motocicleta,Home,[18;33],el Fort Pienc
Otono,Laborable,Manca d'atencio a la conduccio,Tarda,Xoc contra element estatic,Bicicleta,Dona,[34;50],la Dreta de l'Eixample
Verano,Laborable,Manca precaucio incorporacio circulacio,Tarda,Colision fronto-lateral,Motocicleta,Dona,[34;50],Sants
Otono,Laborable,No cedir la dreta,Mati,Colision fronto-lateral,Motocicleta,Home,[18;33],Sant Antoni
Verano,No laborable,Manca precaucio efectuar marxa enrera,Nit,Abast,Motocicleta,Dona,[51;70],Sant Antoni
Invierno,Laborable,Gir indegut o sense precaucio,Tarda,Colision lateral,Motocicleta,Home,[34;50],Sant Andreu
Invierno,Laborable,No respectar distancies,Tarda,Abast,Motocicleta,Home,[34;50],Navas
Verano,Laborable,Gir indegut o sense precaucio,Tarda,Colision lateral,Motocicleta,Home,[34;50],les Roquetes
Primavera,Laborable,No determinada,Tarda,Caiguda (dues rodes),Motocicleta,Dona,[34;50],la Nova Esquerra de l'Eixample
Otono,No laborable,Manca d'atencio a la conduccio,Tarda,Abast,Motocicleta,Dona,[18;33],el Clot
Otono,No laborable,Manca d'atencio a la conduccio,Mati,Abast multiple,Motocicleta,Home,[51;70],el Clot
Verano,Laborable,Canvi de carril sense precaucio,Mati,Caiguda (dues rodes),Motocicleta,Home,[34;50],l'Antiga Esquerra de l'Eixample
Primavera,Laborable,No respectar distancies,Tarda,Colision lateral,Motocicleta,Dona,[34;50],la Vila de Gracia
Otono,Laborable,Canvi de carril sense precaucio,Mati,Colision lateral,Motocicleta,Home,[18;33],la Nova Esquerra de l'Eixample
Invierno,Laborable,Manca d'atencio a la conduccio,Tarda,Caiguda (dues rodes),Motocicleta,Dona,[18;33],la Dreta de l'Eixample
Invierno,Laborable,Desobeir samoforo,Mati,Colision fronto-lateral,Motocicleta,Home,[34;50],el Poble-sec
Invierno,No laborable,No determinada,Tarda,Caiguda (dues rodes),Motocicleta,Home,[18;33],la Vila de Gracia
